愉悦安,小区名,区县,地址,物业公司,物业类型,物业id,房屋等级,建设用地,开发单位,是否有合同,负责人,点位坐标,面坐标
00adc7c30d2f5c3427216dc19c04de6a,九鼎峯境,南川区,重庆南川区西城街道办事处长远居委2组,碧桂园生活服务集团股份有限公司重庆南川分公司,住宅,1806486548860000000,超等级,地字第500119201900511号,重庆乐鼎投资有限公司,有合同,,"[107.08096144964917, 29.15030425513785]","[[[107.07866853960452, 29.150498796944078], [107.07944196619188, 29.150408270414673], [107.07985658663044, 29.149941709344187], [107.08024728665912, 29.15019936273464], [107.08065393362772, 29.15021328992653], [107.0807177213875, 29.149983491018965], [107.0807177213875, 29.149607455334145], [107.0807496152674, 29.149189636292228], [107.08097287242663, 29.148618614186788], [107.08143533368501, 29.14824257350603], [107.08208118475281, 29.14857683195689], [107.08251972560127, 29.149245345596004], [107.08273500929056, 29.14985118232385], [107.08281474399026, 29.15027596226664], [107.08247985825145, 29.15052665124477], [107.08217686639247, 29.15067984976357], [107.08204131740293, 29.150972319028686], [107.08187387453351, 29.151431911905767], [107.08157885614455, 29.151633853580286], [107.08110044794618, 29.151640817079233], [107.0806858275076, 29.151564218564964], [107.08013565807948, 29.1516477805777], [107.07972901111089, 29.151668671070254], [107.0791708682128, 29.151640817079233], [107.0788519294139, 29.151327459159713], [107.0786446191946, 29.150951428394503], [107.07866853960452, 29.150498796944078]]]"
00c539be4e808018c605587b4ebe39e6,缙云新居公租房,北碚区,重庆市北歇马街道福善路1号,重庆助友创美物业管理有限公司,公租房,1904007538860000000,二级,地字第市政500109202200008号,,有合同,,"[106.3576562943541, 29.763464238381065]","[[[106.36043404391368, 29.76339444505455], [106.36029127612892, 29.763644287980593], [106.35641275990454, 29.766035634315635], [106.35621050693427, 29.765976147191463], [106.3545924824701, 29.764964872145438], [106.35456868873783, 29.76484589897744], [106.35719798995171, 29.76320407819113], [106.35674589563462, 29.76260921230514], [106.35782854921531, 29.76196676045462], [106.35666262283584, 29.760539080839827], [106.35705523403891, 29.76002749816125], [106.35728128274958, 29.759908525702166], [106.36043404391368, 29.76339444505455]]]"
00ceea7d931bcccfb09a55d2b5ce486d,水岸国际北区,铜梁区,重庆市铜梁区东城街道办事处金龙大道66号,重庆新助邦水岸北物业服务有限公司,商住一体（综合商业体）,1897545404280000000,四级,地字第500224201100124号,重庆市来新居房地产开发有限公司,有合同,,"[106.07831338778676, 29.832615341779363]","[[[106.07871830285802, 29.836455030430475], [106.07684985519, 29.836515628733213], [106.0766377611304, 29.83337461670753], [106.07656201325196, 29.831551617766575], [106.0765973622619, 29.831384972434023], [106.0771326472695, 29.831410221726834], [106.07742048920753, 29.83127892540422], [106.07783457760964, 29.831112280071668], [106.07841531134429, 29.830592144639763], [106.07880415045358, 29.83015280694485], [106.07923843828992, 29.829824566138306], [106.07999086721568, 29.82962762165438], [106.08046050406197, 29.829541774058825], [106.08084934317127, 29.829683170098566], [106.08087459246407, 29.82999121147086], [106.0806170496774, 29.830395200155834], [106.08014741283111, 29.830556795629825], [106.0793495351783, 29.830879986577806], [106.07829916459737, 29.83150111918095], [106.07797092379082, 29.83187985857312], [106.07819816742611, 29.832238398531036], [106.07863750512104, 29.832692885801634], [106.07978887287322, 29.833011026891054], [106.0797383742876, 29.834061397471988], [106.07968787570196, 29.83409674648193], [106.07913744111868, 29.834753228095014], [106.07863245526246, 29.83544000885947], [106.07871830285802, 29.836455030430475]], [[106.07700459080498, 29.83632490376365], [106.07843136524392, 29.83628267191675], [106.07880699266603, 29.83397462452104], [106.07685581689007, 29.834092290972304], [106.07700459080498, 29.83632490376365]]]"
00e1023de6b857407b9801f8126a6f84,兴源人家,秀山县,中和街道凤栖北路22号,重庆世居物业管理有限公司,商住一体（综合商业体）,1909787646960000000,二级,渝规地证（2009）秀山字第0011号,秀山宜居房地产开发有限公司,有合同,,"[109.00689810924436, 28.4498623588418]","[[[109.00645023542755, 28.45015015225299], [109.00652496016303, 28.44950515979929], [109.00718961702081, 28.44954448860744], [109.00734299937261, 28.44974506552902], [109.00730367056445, 28.450205212584407], [109.00645023542755, 28.45015015225299]]]"
00e3b77ecf166f7740abf7c8cb604c76,明华龙洲花园,巴南区,龙洲大道99号,重庆和田物业管理有限公司,商住一体（综合商业体）,1910528460060000000,按约定确定,渝规地证（2008）巴字第0001号,重庆源聚房地产开发有限公司,有合同,张建民,"[106.52869141670352, 29.38455020921476]","[[[106.52824860278501, 29.384709836574373], [106.52773164133696, 29.384671824703194], [106.52774684608542, 29.384185272752084], [106.5288795998466, 29.384360127359514], [106.52980708950341, 29.384360127359514], [106.52962463252173, 29.384747848445553], [106.52897082833744, 29.384801065065204], [106.5287123476134, 29.38499872679534], [106.52824860278501, 29.384709836574373]]]"
00f20f7a0eb8e2f749bb9d9d1a9e6020,驿鑫广场（商业）,万州区,江南新区玉龙路766号,重庆市万州区驿鑫物业管理有限公司,商务楼宇（商场、写字楼）,1902970036140000000,超等级,地字第500101201800024号,重庆瑞繁实业有限公司,有合同,,"[108.39984482012235, 30.79697210934972]","[[[108.39871626750603, 30.798122761359394], [108.39813158474148, 30.79788237801669], [108.39860132986851, 30.797332928118898], [108.39933093400194, 30.796749134161253], [108.39968074420293, 30.79668045228608], [108.40115994162419, 30.79559012094473], [108.40163468403986, 30.796173921941215], [108.39943087977373, 30.797624823768185], [108.39960078758564, 30.79783515978948], [108.39906607770702, 30.798200027306155], [108.39871626750603, 30.798122761359394]]]"
010a5363c02de5d095ea4e30514760d0,福江山水,潼南区,青龙路118号,重庆市国鑫物业管理有限公司,商住一体（综合商业体）,1686931002110000000,一级,地字第500223201100150号,,有合同,李伟,"[105.82761621772264, 30.18871520615777]","[[[105.827029200198, 30.18960143349291], [105.82648229950273, 30.18836709501987], [105.82786474292682, 30.1878155770849], [105.82830530182022, 30.187900931253022], [105.82865471059773, 30.18926002227145], [105.827029200198, 30.18960143349291]]]"
01233b0a36d49ff9e655c345675059b2,江景名门,涪陵区,黎明路8号,重庆市涪陵区诚大物业管理有限公司,住宅,1912415464060000000,按约定确定,地字第500102201500057号,,有合同,,"[107.37840985607424, 29.71285033670178]","[[[107.3778178979305, 29.714161200017717], [107.37770448745351, 29.713759901406803], [107.37805344276734, 29.713367326678735], [107.37761724862504, 29.713000923599207], [107.37807089053304, 29.71194533377485], [107.37921371918586, 29.711962781540542], [107.37885603998917, 29.712704311582446], [107.37951905508547, 29.71275665487952], [107.3778178979305, 29.714161200017717]]]"
01350c9612d02b1f4101d89a4b45ca22,兰亭景苑,璧山区,重庆市璧山区双星大道460号,龙湖物业服务集团有限公司,住宅,1916062752450000000,超等级,地字第500120202000018号,重庆伟润房地产开发有限公司,有合同,,"[106.1930999805194, 29.57140260535633]","[[[106.19146092761162, 29.572435917797346], [106.19142475336616, 29.57235001589749], [106.19191018391155, 29.571179018368618], [106.1919733636654, 29.57118688658426], [106.19199133846779, 29.571091860134523], [106.19195520284349, 29.571044939150468], [106.19234147421918, 29.570039318766607], [106.19480021511718, 29.5700765679667], [106.19369515007925, 29.572982418515416], [106.19365008571945, 29.57302944250396], [106.19146092761162, 29.572435917797346]]]"
01479ff6ee7d69489fbfcaf5442f3a4b,江南御府,经开区,乐天路166号,国瑞智慧服务集团重庆有限公司,商住一体（综合商业体）,1801157540620000000,超等级,地字第500108201900005号,国瑞阳光地产集团有限公司,有合同,,"[106.68242280163985, 29.514926868560035]","[[[106.68042993782873, 29.514553618022926], [106.6837067845826, 29.513672498034335], [106.6841301973654, 29.5144334657489], [106.68384485396831, 29.515098306542846], [106.68290598214556, 29.516211704838003], [106.68173699468, 29.515931353903117], [106.68093619224298, 29.515522841150553], [106.68072448585154, 29.51517039745081], [106.68042993782873, 29.514553618022926]]]"
014d0bff690f440f9eb8bd612c764767,两江慧谷,渝北区,金果大道155号,1901451708351836162,商住一体（综合商业体）,1902905386180000300,超等级,地字第500112200900201号,重庆市紫台房地产开发有限公司,有合同,,"[106.58195280534729, 29.64777291101945]","[[[106.5809343752931, 29.64833943228566], [106.58171156382049, 29.647349740366785], [106.58201723308792, 29.64710128163478], [106.58241663610475, 29.646997368547463], [106.58283205500317, 29.64705747762359], [106.58306253005776, 29.64720496033876], [106.58156143475186, 29.64871026266361], [106.5809343752931, 29.64833943228566]]]"
0150651d6503802ea95ebec108b7e6d6,博雅华城,潼南区,奋进大道666号,重庆森里物业管理有限公司,商住一体（综合商业体）,1687005832040000000,一级,地字第500223201300033号,,有合同,王洪利,"[105.8489192467469, 30.200690179550293]","[[[105.84814944162977, 30.20015833474438], [105.84956036946426, 30.20019772404714], [105.84958885387546, 30.201271076485856], [105.84844378054453, 30.201256305660106], [105.84844757846602, 30.200731119305946], [105.84811336137449, 30.200695012641155], [105.84814944162977, 30.20015833474438]]]"
